Fullname, Course, Score, Experience, StudyMode, StudyPattern
April Romero,Doctor of Dental Surgery (D.D.S.),64,nursing,,
Valerie Johnson,Doctor of Pharmacy (Pharm.D.),92,physiotherapy,on-campus,
Amanda Sanchez,Doctor of Veterinary Medicine (D.V.M.),79,nutrition,on-campus,PT
Melissa Williams,Doctor of Nursing Practice (D.N.P.),75,nutrition,,
Ronald Rodgers,Doctor of Pharmacy (Pharm.D.),54,immunology,on-campus,PT
Sherry Chavez,Bachelor of Science in Biomedical Science (B.S.),82,nutrition,online,
Steven Campos,Master of Health Administration (M.H.A.),56,physiotherapy,online,PT
Rachel Holloway,Doctor of Optometry (O.D.),89,,online,
Justin Taylor,Doctor of Medicine (M.D.),90,nursing,,
Kathy Mccarthy,Doctor of Optometry (O.D.),54,physiotherapy,online,FT
Maria Schultz,Doctor of Pharmacy (Pharm.D.),58,physiotherapy,on-campus,
Mark Hernandez,Doctor of Optometry (O.D.),91,surgery,on-campus,PT
Julia Green,Doctor of Pharmacy (Pharm.D.),76,nutrition,,PT
Heather Garrison,Master of Public Health (M.P.H.),77,immunology,online,PT
David Lewis,Master of Public Health (M.P.H.),97,nursing,on-campus,FT
Lisa Hill,Doctor of Podiatric Medicine (D.P.M.),89,,online,
Susan Nolan,Doctor of Pharmacy (Pharm.D.),76,nursing,on-campus,FT
Emily Meyer,Doctor of Podiatric Medicine (D.P.M.),74,immunology,,
Stephanie Decker,Doctor of Nursing Practice (D.N.P.),59,,online,FT
Bryan Woods,Doctor of Dental Surgery (D.D.S.),65,physiotherapy,online,FT
Sarah Bailey,Doctor of Pharmacy (Pharm.D.),83,immunology,on-campus,
Christopher Hunter,Doctor of Nursing Practice (D.N.P.),92,immunology,on-campus,PT
Scott Smith,Doctor of Pharmacy (Pharm.D.),66,surgery,on-campus,PT
Nancy Sheppard,Doctor of Medicine (M.D.),96,immunology,on-campus,PT
Jeff Williams,Doctor of Physical Therapy (D.P.T.),78,physiotherapy,on-campus,FT
Mrs. Sarah Andrews DDS,Doctor of Chiropractic (D.C.),83,nutrition,online,
Jason Powell,Doctor of Optometry (O.D.),79,,on-campus,PT
Joseph Dean,Doctor of Dental Surgery (D.D.S.),77,physiotherapy,online,PT
Tammy Mitchell,Bachelor of Science in Biomedical Science (B.S.),53,surgery,,
Ann Dixon,Doctor of Veterinary Medicine (D.V.M.),98,physiotherapy,,FT
Jessica Richard,Doctor of Nursing Practice (D.N.P.),99,physiotherapy,,FT
Elizabeth Trujillo,Doctor of Osteopathic Medicine (D.O.),83,dentistry,,FT
Cody Meadows,Doctor of Chiropractic (D.C.),51,surgery,on-campus,PT
Antonio Rodriguez,Doctor of Dental Medicine (D.M.D.),90,physiotherapy,,FT
Joel Carter,Doctor of Osteopathic Medicine (D.O.),53,dentistry,online,PT
Jeffrey Mccann,Doctor of Chiropractic (D.C.),79,nutrition,online,PT
William Smith,Doctor of Nursing Practice (D.N.P.),96,immunology,on-campus,PT
Debra Young,Doctor of Medicine (M.D.),84,nutrition,on-campus,
Christian Murray,Bachelor of Science in Biomedical Science (B.S.),84,,,
Jeremy Boyd,Doctor of Osteopathic Medicine (D.O.),80,physiotherapy,on-campus,FT
Stephanie Smith,Doctor of Veterinary Medicine (D.V.M.),92,immunology,,FT
Erin Cunningham,Doctor of Podiatric Medicine (D.P.M.),66,surgery,on-campus,PT
Megan Dawson,Doctor of Pharmacy (Pharm.D.),75,nutrition,,PT
Steven Martinez,Master of Public Health (M.P.H.),99,surgery,online,PT
Allen Parks,Bachelor of Science in Nursing (B.S.N.),83,nutrition,on-campus,PT
Lisa Brock,Doctor of Optometry (O.D.),54,physiotherapy,online,FT
Jessica Conner,Doctor of Medicine (M.D.),50,nutrition,online,FT
Tracy Wiley,Doctor of Dental Medicine (D.M.D.),82,nutrition,,PT
Paul Mccarthy,Doctor of Dental Surgery (D.D.S.),58,physiotherapy,on-campus,FT
James Gomez,Doctor of Veterinary Medicine (D.V.M.),91,nursing,online,
Andrew Brooks,Bachelor of Science in Biomedical Science (B.S.),97,nutrition,on-campus,
Pamela Foster,Doctor of Dental Medicine (D.M.D.),86,physiotherapy,on-campus,FT
Robert Thompson,Doctor of Physical Therapy (D.P.T.),58,dentistry,on-campus,PT
Brooke Norton,Doctor of Physical Therapy (D.P.T.),94,physiotherapy,,PT
Tammy Craig,Doctor of Medicine (M.D.),52,nursing,,FT
Amber Bailey,Doctor of Pharmacy (Pharm.D.),70,immunology,online,FT
Brittany Martin,Doctor of Physical Therapy (D.P.T.),88,surgery,on-campus,FT
Robert Braun,Master of Health Administration (M.H.A.),98,dentistry,online,PT
Steve Norris,Doctor of Medicine (M.D.),90,nursing,online,PT
Jacqueline Cruz,Doctor of Dental Surgery (D.D.S.),98,,,PT
Patricia Baker,Doctor of Medicine (M.D.),87,dentistry,,FT
Teresa Green,Doctor of Optometry (O.D.),91,surgery,on-campus,PT
Travis Chandler,Master of Public Health (M.P.H.),89,immunology,on-campus,FT
Melissa Huynh,Doctor of Osteopathic Medicine (D.O.),86,surgery,,FT
Scott Cook,Doctor of Medicine (M.D.),75,nursing,,FT
Christopher Horton II,Doctor of Dental Surgery (D.D.S.),98,dentistry,online,PT
Mr. Nicholas Vincent,Doctor of Podiatric Medicine (D.P.M.),90,nursing,online,FT
Amanda Frye,Master of Health Administration (M.H.A.),71,nursing,on-campus,FT
Shari Mitchell,Doctor of Nursing Practice (D.N.P.),53,immunology,online,
James Higgins,Master of Public Health (M.P.H.),93,nutrition,,PT
Ashley Hanson,Doctor of Physical Therapy (D.P.T.),99,dentistry,on-campus,
Jill Arias,Doctor of Optometry (O.D.),99,immunology,online,FT
Manuel Randall,Doctor of Dental Surgery (D.D.S.),74,physiotherapy,on-campus,FT
Laura Villegas,Doctor of Medicine (M.D.),53,,,PT
Melinda Edwards,Bachelor of Science in Biomedical Science (B.S.),77,nursing,online,PT
Derrick Stokes,Doctor of Osteopathic Medicine (D.O.),66,immunology,,
Paul Hurst,Doctor of Dental Surgery (D.D.S.),72,,online,
Jeffrey Kim,Doctor of Dental Surgery (D.D.S.),96,dentistry,on-campus,PT
Kelly Perry,Master of Public Health (M.P.H.),88,physiotherapy,online,FT
Laura Dixon,Doctor of Chiropractic (D.C.),92,nursing,,
Jacob Glass MD,Doctor of Optometry (O.D.),55,surgery,on-campus,FT
Katherine Johnson,Doctor of Dental Medicine (D.M.D.),90,nursing,on-campus,PT
Daniel Welch,Doctor of Dental Surgery (D.D.S.),65,surgery,,
Mrs. Breanna Huffman MD,Bachelor of Science in Nursing (B.S.N.),86,immunology,on-campus,PT
Jennifer Johnson,Bachelor of Science in Nursing (B.S.N.),78,immunology,on-campus,FT
Alyssa Cooley,Doctor of Dental Surgery (D.D.S.),75,dentistry,on-campus,
Michaela Howard,Doctor of Chiropractic (D.C.),58,immunology,,FT
Michael Barrera,Doctor of Osteopathic Medicine (D.O.),83,surgery,on-campus,PT
Emily Williamson,Doctor of Dental Surgery (D.D.S.),57,nutrition,on-campus,
Thomas Fritz,Doctor of Dental Medicine (D.M.D.),59,nursing,on-campus,FT
Leslie Johnston,Bachelor of Science in Biomedical Science (B.S.),62,,,
Angela Clayton,Bachelor of Science in Biomedical Science (B.S.),82,physiotherapy,on-campus,FT
Sandy Bailey,Bachelor of Science in Biomedical Science (B.S.),53,surgery,online,FT
Elizabeth Lee,Doctor of Physical Therapy (D.P.T.),53,dentistry,on-campus,
John Mcguire,Doctor of Dental Medicine (D.M.D.),54,dentistry,,FT
Natasha Villa,Master of Public Health (M.P.H.),71,nursing,,FT
Christopher Hammond,Doctor of Podiatric Medicine (D.P.M.),74,surgery,,
Ashley Johnston,Doctor of Dental Surgery (D.D.S.),62,,,PT
Kristin Jones,Doctor of Chiropractic (D.C.),53,nursing,online,PT
Karen Nelson,Doctor of Dental Medicine (D.M.D.),68,,online,PT
Barbara Sullivan,Doctor of Chiropractic (D.C.),62,physiotherapy,on-campus,PT
Heather Anderson,Master of Public Health (M.P.H.),55,immunology,online,
Daniel Robinson,Doctor of Optometry (O.D.),71,nursing,on-campus,PT
John Garcia,Doctor of Physical Therapy (D.P.T.),78,dentistry,on-campus,PT
Raymond Smith,Doctor of Dental Surgery (D.D.S.),94,nursing,,FT
Theresa Hudson,Doctor of Dental Surgery (D.D.S.),90,physiotherapy,,PT
Amy Williams,Bachelor of Science in Biomedical Science (B.S.),91,physiotherapy,,FT
Amanda Clark,Master of Health Administration (M.H.A.),55,physiotherapy,on-campus,PT
Richard Caldwell,Doctor of Nursing Practice (D.N.P.),90,nutrition,on-campus,FT
Kristina Sanchez,Doctor of Physical Therapy (D.P.T.),79,surgery,,PT
Christina Powell,Doctor of Veterinary Medicine (D.V.M.),57,dentistry,on-campus,FT
Eric Gallagher,Doctor of Chiropractic (D.C.),98,dentistry,on-campus,PT
Richard Robinson,Master of Public Health (M.P.H.),92,nutrition,,PT
Catherine Vasquez,Doctor of Podiatric Medicine (D.P.M.),93,nutrition,on-campus,
Amber Snow,Doctor of Optometry (O.D.),55,dentistry,on-campus,
Willie Young,Doctor of Osteopathic Medicine (D.O.),65,nursing,online,FT
Vanessa Cooper,Bachelor of Science in Biomedical Science (B.S.),73,nutrition,,
Marilyn Duran,Doctor of Dental Surgery (D.D.S.),74,immunology,on-campus,
Denise Brown,Doctor of Optometry (O.D.),96,,online,PT
Heather Young,Doctor of Chiropractic (D.C.),54,,,
Sergio Fields,Bachelor of Science in Nursing (B.S.N.),88,nursing,on-campus,PT
James Ward,Doctor of Dental Surgery (D.D.S.),75,surgery,,FT
James Ray,Master of Public Health (M.P.H.),72,surgery,,
Stephanie Campbell,Doctor of Podiatric Medicine (D.P.M.),51,,online,
Jennifer Sullivan,Doctor of Chiropractic (D.C.),99,,,FT
Raymond Dickson,Doctor of Dental Surgery (D.D.S.),84,nursing,,
Ruth Wilson,Doctor of Osteopathic Medicine (D.O.),69,nutrition,online,
Kyle Stafford,Doctor of Dental Medicine (D.M.D.),90,surgery,,FT
Kari Garcia,Doctor of Medicine (M.D.),90,dentistry,online,PT
Tina Lam,Doctor of Dental Medicine (D.M.D.),66,dentistry,on-campus,
Christopher Miller,Bachelor of Science in Biomedical Science (B.S.),100,nursing,,PT
Tiffany Miller,Master of Health Administration (M.H.A.),90,nutrition,,PT
Anthony Farmer,Doctor of Pharmacy (Pharm.D.),77,nursing,on-campus,FT
Jason Mcclain,Doctor of Veterinary Medicine (D.V.M.),85,nursing,on-campus,PT
Dr. Michael Bates MD,Doctor of Pharmacy (Pharm.D.),99,surgery,online,FT
Christopher Smith,Master of Health Administration (M.H.A.),56,,online,PT
Candice Gray,Doctor of Dental Surgery (D.D.S.),63,nursing,online,
Barbara Jordan,Doctor of Podiatric Medicine (D.P.M.),56,physiotherapy,,PT
Sue Holt,Doctor of Osteopathic Medicine (D.O.),80,surgery,online,
Dr. Jessica Carroll,Doctor of Dental Medicine (D.M.D.),84,surgery,,
Samuel Luna,Doctor of Podiatric Medicine (D.P.M.),84,dentistry,,PT
Derek King,Doctor of Podiatric Medicine (D.P.M.),67,immunology,,FT
Larry Walsh,Master of Health Administration (M.H.A.),80,immunology,,PT
Shannon Garcia,Doctor of Medicine (M.D.),92,physiotherapy,,PT
Alan Hanson,Doctor of Medicine (M.D.),78,immunology,,
Patrick Lawrence,Doctor of Optometry (O.D.),83,immunology,online,
Ms. Rebecca Wallace,Bachelor of Science in Nursing (B.S.N.),69,dentistry,on-campus,
Trevor Chan,Doctor of Pharmacy (Pharm.D.),90,nursing,,PT
Sherry Kirk,Bachelor of Science in Biomedical Science (B.S.),97,dentistry,,FT
Luis Williams,Doctor of Dental Medicine (D.M.D.),72,immunology,,FT
Cassie Hardy,Doctor of Dental Medicine (D.M.D.),81,nursing,online,FT
Emily Oconnor,Master of Public Health (M.P.H.),61,,on-campus,PT
Matthew Horton,Doctor of Optometry (O.D.),59,physiotherapy,online,PT
Cody Burns,Master of Health Administration (M.H.A.),89,,,PT
David Hill,Doctor of Veterinary Medicine (D.V.M.),93,nutrition,online,
Beth Carroll,Doctor of Pharmacy (Pharm.D.),75,nutrition,online,FT
Robert Evans,Doctor of Physical Therapy (D.P.T.),55,immunology,,FT
Jeremy Perez,Doctor of Physical Therapy (D.P.T.),73,physiotherapy,online,PT
Erica Gibson,Doctor of Dental Surgery (D.D.S.),100,nutrition,,
James Mendez,Doctor of Medicine (M.D.),59,nutrition,,FT
Joel Lawrence,Doctor of Medicine (M.D.),63,immunology,on-campus,FT
Rebecca Sherman,Doctor of Nursing Practice (D.N.P.),51,physiotherapy,online,PT
Alicia Mitchell,Doctor of Nursing Practice (D.N.P.),61,immunology,online,FT
Sheila Moreno,Bachelor of Science in Nursing (B.S.N.),64,surgery,on-campus,PT
Scott Williams,Doctor of Optometry (O.D.),55,immunology,on-campus,
Nicholas Walker,Doctor of Veterinary Medicine (D.V.M.),81,dentistry,online,FT
Lisa Yates,Doctor of Chiropractic (D.C.),78,,online,PT
Susan Sampson,Doctor of Medicine (M.D.),52,surgery,online,FT
Ricardo Moses,Doctor of Dental Surgery (D.D.S.),87,physiotherapy,on-campus,FT
Michael Gallagher,Doctor of Pharmacy (Pharm.D.),74,nutrition,on-campus,PT
Charles Scott,Doctor of Pharmacy (Pharm.D.),93,surgery,,
Timothy Miller,Doctor of Veterinary Medicine (D.V.M.),99,surgery,on-campus,
Brian Drake,Doctor of Medicine (M.D.),55,nursing,,
Glenda Gray,Doctor of Dental Surgery (D.D.S.),100,surgery,on-campus,PT
Robert Flores,Doctor of Osteopathic Medicine (D.O.),53,dentistry,online,FT
Leslie Hernandez,Doctor of Nursing Practice (D.N.P.),91,surgery,,FT
Kevin Brown,Doctor of Veterinary Medicine (D.V.M.),50,immunology,,PT
Sarah Mayer,Doctor of Dental Surgery (D.D.S.),64,dentistry,,PT
Matthew Smith MD,Doctor of Chiropractic (D.C.),69,surgery,online,PT
Kyle Wang,Doctor of Dental Medicine (D.M.D.),91,dentistry,on-campus,PT
Nicole Lopez,Doctor of Pharmacy (Pharm.D.),97,nutrition,,
Joshua Burns,Master of Health Administration (M.H.A.),79,dentistry,online,
Richard Walker,Doctor of Nursing Practice (D.N.P.),77,dentistry,online,FT
Walter Keller,Doctor of Pharmacy (Pharm.D.),55,nutrition,,
Gregory Steele,Doctor of Dental Medicine (D.M.D.),81,immunology,online,PT
Lindsey Peterson,Doctor of Optometry (O.D.),65,surgery,online,FT
Charles Dixon,Doctor of Medicine (M.D.),82,nursing,,FT
Gary Garcia,Doctor of Dental Medicine (D.M.D.),57,physiotherapy,online,
Ryan Moore,Doctor of Podiatric Medicine (D.P.M.),55,nutrition,,FT
Devin Grant,Master of Health Administration (M.H.A.),58,nutrition,,PT
Nichole Cline,Doctor of Dental Surgery (D.D.S.),50,surgery,on-campus,
Mark Gamble,Doctor of Pharmacy (Pharm.D.),63,physiotherapy,,PT
Molly Shaffer,Doctor of Chiropractic (D.C.),98,dentistry,online,FT
Brett Kent,Doctor of Optometry (O.D.),73,dentistry,on-campus,
Joshua Blake,Doctor of Podiatric Medicine (D.P.M.),69,nursing,,
Victor Sloan,Master of Public Health (M.P.H.),70,nutrition,on-campus,
Linda Wolfe,Doctor of Nursing Practice (D.N.P.),88,surgery,online,
Heidi Tucker,Master of Public Health (M.P.H.),74,surgery,,
Bethany Walsh MD,Bachelor of Science in Biomedical Science (B.S.),52,nursing,on-campus,
Daniel Hughes,Doctor of Physical Therapy (D.P.T.),54,immunology,on-campus,PT
Juan Thomas,Bachelor of Science in Nursing (B.S.N.),70,dentistry,on-campus,PT
Donna Reid,Doctor of Podiatric Medicine (D.P.M.),64,nursing,,PT
Lucas Flores,Bachelor of Science in Nursing (B.S.N.),73,physiotherapy,online,PT
Christopher Gomez,Doctor of Optometry (O.D.),55,immunology,on-campus,FT
Mary Morrow,Doctor of Dental Surgery (D.D.S.),53,immunology,on-campus,PT
David Pena,Doctor of Dental Surgery (D.D.S.),66,nursing,,FT
Kathleen Hoffman,Doctor of Dental Surgery (D.D.S.),56,,,FT
Caroline Cisneros,Doctor of Nursing Practice (D.N.P.),58,nursing,online,PT
Kenneth Anderson,Doctor of Pharmacy (Pharm.D.),99,,online,PT
Nancy Weber DDS,Doctor of Pharmacy (Pharm.D.),90,dentistry,,PT
Ashley Gardner,Doctor of Medicine (M.D.),98,nursing,,
Jeffrey Phillips,Doctor of Optometry (O.D.),59,,online,PT
Christopher Alexander,Doctor of Pharmacy (Pharm.D.),82,surgery,on-campus,
Jillian Dougherty,Master of Public Health (M.P.H.),51,nutrition,online,PT
Luke Jones,Master of Public Health (M.P.H.),100,surgery,on-campus,FT
William Hampton,Doctor of Nursing Practice (D.N.P.),91,,,
Kenneth Leach,Doctor of Physical Therapy (D.P.T.),93,,on-campus,PT
Christian Powell,Doctor of Podiatric Medicine (D.P.M.),84,dentistry,,FT
Lauren Garrett,Master of Public Health (M.P.H.),57,nutrition,online,FT
Gary Ashley,Master of Public Health (M.P.H.),72,physiotherapy,,FT
Tiffany Petersen,Doctor of Chiropractic (D.C.),56,,on-campus,
Melissa Morris,Doctor of Osteopathic Medicine (D.O.),80,immunology,,
Holly Jones,Doctor of Osteopathic Medicine (D.O.),61,nursing,,
Linda Ruiz,Doctor of Podiatric Medicine (D.P.M.),51,nursing,,
Leah Blanchard,Doctor of Dental Surgery (D.D.S.),68,surgery,online,
Rebecca Perkins,Doctor of Podiatric Medicine (D.P.M.),72,surgery,online,
Gary Lee,Doctor of Podiatric Medicine (D.P.M.),82,nutrition,on-campus,PT
Tara Anderson,Doctor of Podiatric Medicine (D.P.M.),96,physiotherapy,,
Rebecca Little,Doctor of Dental Surgery (D.D.S.),57,nutrition,on-campus,FT
Sara Moore,Doctor of Optometry (O.D.),58,nutrition,online,PT
Alexa Roach,Doctor of Osteopathic Medicine (D.O.),100,immunology,online,FT
James Griffin,Doctor of Pharmacy (Pharm.D.),94,immunology,,FT
Michelle Walker,Doctor of Chiropractic (D.C.),58,surgery,online,PT
Richard Baker,Master of Health Administration (M.H.A.),94,physiotherapy,online,
Mark Bennett,Doctor of Nursing Practice (D.N.P.),56,dentistry,on-campus,
Kristy Bowen,Bachelor of Science in Nursing (B.S.N.),62,nutrition,,
Robert Burns,Doctor of Dental Medicine (D.M.D.),50,surgery,online,PT
Jason Sheppard,Doctor of Osteopathic Medicine (D.O.),62,immunology,on-campus,FT
Erica Chang,Doctor of Optometry (O.D.),59,immunology,,PT
Dennis Benjamin,Master of Health Administration (M.H.A.),50,immunology,on-campus,FT
Jessica Sharp,Doctor of Veterinary Medicine (D.V.M.),64,dentistry,online,FT
Rhonda Smith,Doctor of Medicine (M.D.),66,physiotherapy,on-campus,FT
Dwayne Perez,Master of Public Health (M.P.H.),77,dentistry,on-campus,PT
Catherine Norman,Doctor of Physical Therapy (D.P.T.),74,immunology,online,PT
Julie Burgess,Doctor of Veterinary Medicine (D.V.M.),65,dentistry,online,PT
Jeanette Freeman,Doctor of Nursing Practice (D.N.P.),82,nursing,,FT
Denise Baker,Master of Public Health (M.P.H.),87,dentistry,online,
Cameron Campos,Doctor of Pharmacy (Pharm.D.),56,surgery,,FT
Steven Reeves,Doctor of Optometry (O.D.),84,immunology,,FT
Jonathan Torres,Doctor of Dental Medicine (D.M.D.),92,surgery,online,
Nicholas Garcia,Doctor of Chiropractic (D.C.),60,nutrition,online,
Jessica Livingston,Doctor of Optometry (O.D.),99,dentistry,on-campus,
Carl Smith,Doctor of Dental Surgery (D.D.S.),66,dentistry,on-campus,
Roy Ruiz,Doctor of Osteopathic Medicine (D.O.),68,nursing,online,
Ronnie Bradley,Doctor of Dental Surgery (D.D.S.),95,surgery,,
David Day,Master of Health Administration (M.H.A.),62,physiotherapy,online,PT
Deborah Barron,Doctor of Pharmacy (Pharm.D.),77,surgery,,
Jasmine Williams,Doctor of Osteopathic Medicine (D.O.),91,nutrition,online,FT
Wayne Peters,Master of Health Administration (M.H.A.),93,,on-campus,
Barbara Schneider,Doctor of Nursing Practice (D.N.P.),89,physiotherapy,on-campus,FT
Stanley Gross,Bachelor of Science in Nursing (B.S.N.),58,dentistry,on-campus,
Theresa Walker,Doctor of Optometry (O.D.),71,physiotherapy,on-campus,
Benjamin Sharp,Doctor of Nursing Practice (D.N.P.),97,nursing,on-campus,PT
Damon Miller,Bachelor of Science in Nursing (B.S.N.),53,physiotherapy,on-campus,FT
Dana Khan,Doctor of Medicine (M.D.),70,nursing,on-campus,PT
Caleb Grant,Master of Public Health (M.P.H.),95,nursing,online,
Jose Quinn,Doctor of Veterinary Medicine (D.V.M.),61,nursing,online,PT
James Bartlett,Doctor of Dental Medicine (D.M.D.),64,nursing,on-campus,PT
Lisa Alexander,Doctor of Osteopathic Medicine (D.O.),59,surgery,,PT
Darren Phillips,Doctor of Nursing Practice (D.N.P.),92,,online,FT
Mary Davis,Doctor of Medicine (M.D.),69,surgery,on-campus,PT
Adam Bray,Master of Public Health (M.P.H.),57,nursing,on-campus,
Heidi Williams,Bachelor of Science in Nursing (B.S.N.),78,nutrition,,
Eduardo Evans,Doctor of Osteopathic Medicine (D.O.),53,immunology,on-campus,FT
Jonathan Espinoza,Doctor of Osteopathic Medicine (D.O.),81,,,PT
Brian Blair,Doctor of Osteopathic Medicine (D.O.),89,surgery,on-campus,
Emily Ortiz,Doctor of Optometry (O.D.),66,nursing,on-campus,PT
Luke Nguyen,Doctor of Dental Medicine (D.M.D.),71,physiotherapy,online,FT
Linda Morgan,Master of Public Health (M.P.H.),94,immunology,online,PT
Wanda Garrison,Doctor of Osteopathic Medicine (D.O.),83,dentistry,online,
Danny Young,Doctor of Optometry (O.D.),98,nutrition,online,PT
John Powers,Doctor of Medicine (M.D.),90,nutrition,,
Tony Johnson,Doctor of Nursing Practice (D.N.P.),82,,online,
Jamie Gonzales,Doctor of Dental Surgery (D.D.S.),84,nursing,,
